file_name,action,tool,expected_output,estimated_time,priority
TRN_EP_AS-4-01_V04_Asendiplaan_vertikaal.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,Medium
TRN_PP_AR-4-02_V01_Valisvalgustid.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-5-01_V01_Korruseplaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-5-02_V01_Katuse-plaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-5-03_V01_Lagede-korgused.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-6-01_V01_Loiked.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-6-02_V01_Vaated.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-6-03_V01_Vaated.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-01_V01_Soklisolm.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-02_V01_Aken-vert.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-03_V01_Aken-hor-laudisega-seinas.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-04_V01_Aken-hor-fassaadiplaadiga-seinas.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-05_V01_Klaasfassaadi-ja-terrassi-solm.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-06_V01_Parapett.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-07_V01_Parapett-varikatus-klaasfassaad.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-08_V01_Katuste-uhendus.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-09_V01_Peasissepaasu-trepp.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-10_V01_Magamistoa-terrass.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-11_V01_Valisseina-sisenurk.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-7-12_V01_Vihmaveetoru-laudise-taga.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-8-01_V01_Konstr-vert.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-8-02_V01_Konstr-hor.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-8-03_V01_Akende-spetsifikatsioon.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-8-04_V01_Klaasfassaad-KLF-01.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-8-05_V01_Klaasfassaad-KLF-02.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AR-8-06_V01_Valisuste-spetsifikatsioon.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_PP_AS-4-01_V01_Asendiplaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-4-02_V01_Valisvalgustid.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-5-01_V01_Korruseplaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-5-02_V01_Katuse-plaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-5-03_V01_Lagede-korgused.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-6-01_V01_Loiked.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-6-02_V01_Vaated.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-6-03_V01_Vaated.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-01_V01_Soklisolm.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-02_V01_Aken-vert.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-03_V01_Aken-hor-laudisega-seinas.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-04_V01_Aken-hor-fassaadiplaadiga-seinas.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-05_V01_Klaasfassaadi-ja-terrassi-solm.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-06_V01_Parapett.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-07_V01_Parapett-varikatus-klaasfassaad.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-08_V01_Katuste-uhendus.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-09_V01_Peasissepaasu-trepp.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-10_V01_Magamistoa-terrass.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-11_V01_Valisseina-sisenurk.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-7-12_V01_Vihmaveetoru-laudise-taga.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-8-01_V01_Konstr-vert.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-8-02_V01_Konstr-hor.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-8-03_V01_Akende-spetsifikatsioon.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-8-04_V01_Klaasfassaad-KLF-01.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-8-05_V01_Klaasfassaad-KLF-02.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AR-8-06_V01_Valisuste-spetsifikatsioon.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_PP_AS-4-01_V01_Asendiplaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_EP_AR-5-01_V01_Abihoone-Korruseplaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_EP_AR-6-02_V01_Abihoone-Vaated-loige.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
TRN_EP_AS-4-01_V01_Abihoone-Asendiplaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_EP_AR-5-01_V01_Abihoone-Korruseplaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_EP_AR-6-02_V01_Abihoone-Vaated-loige.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
._TRN_EP_AS-4-01_V01_Abihoone-Asendiplaan.dwg,Convert to Excel,DwgExporter.exe,Element data + quantities,2-5 minutes,High
